Exchange,ErrorCode,ErrorMsg
易达,0,无错误
易达,1,无仓位可平
易达,2,无足够资金开仓
易达,3,ydServer尚未就绪
易达,4,无此合约
易达,5,无此账户
易达,6,报单请求字段填写错误
易达,7,ydServer内存耗尽
易达,8,无此账户对应的交易所客户编码
易达,9,无法发送到交易所
易达,10,无交易权限
易达,11,报单数量错误
易达,12,AppID或AppAuthCode错误
易达,13,超过持仓限量
易达,14,超过成交限量
易达,15,超过撤单限量
易达,16,超过开仓限量
易达,17,无效的交易所席位连接编号
易达,18,已经完成登录
易达,19,密码错误
易达,20,登录请求数量超过限制
易达,21,无此用户
易达,22,不可以修改其他客户的密码
易达,23,修改密码时提供了无效的旧密码
易达,24,报单请求超过流控限制
易达,25,未通过自成交校验
易达,26,缺少管理权限
易达,27,错误的登录IP地址
易达,28,报单类型错误
易达,29,撤单请求中字段填写错误
易达,30,无此交易所
易达,31,无此报单
易达,32,非客户自己报单
易达,33,报单已经撤销或成交
易达,34,仅限价报单方可撤销
易达,35,客户报告错误
易达,36,超过账户最大报单量限制
易达,37,合约不能交易
易达,38,不合法的YDOrderFlag
易达,39,非期权合约
易达,40,价格超过涨跌停板
易达,41,报价中价格交叉
易达,42,报价字段错误
易达,43,报价数量错误
易达,44,报价没有找到
易达,45,取消报价字段错误
易达,46,报价不属于该账户
易达,47,报价已完成
易达,48,不支持的报价
易达,49,报价衍生的委托不可撤销
易达,50,登录连接超过最大限制
易达,51,持仓不足无法组合持仓
易达,52,组合持仓数量不足
易达,53,资金不足无法拆分组合持仓
易达,54,非法的组合持仓
易达,55,无法发送席位优选结果
易达,56,席位优选上报过于频繁
易达,57,非法的席位优选结果
易达,58,API版本低于柜台最低要求
易达,59,非法的交易权限
易达,60,非法的产品
易达,61,非法的出入金字段值
易达,62,Api版本高于ydServer
易达,63,资金使用比例过低
易达,64,合并执行合约对错误
易达,65,不是到期日
易达,66,不是适当的业务时间
易达,67,超出买入额度
易达,68,价格异常
易达,69,交易所不支持
易达,70,不是现券
易达,71,没有足够持仓可以锁定
易达,72,没有足够持仓可以解锁
易达,73,不能备兑权利仓
易达,74,备兑时现券仓不足
易达,75,备兑转换持仓不足
易达,76,备兑转换资金不足
易达,77,行权时现券仓不足
易达,78,OrderRef不正确
易达,79,没有可用席位，且有席位被流控
易达,80,交易所API发送错误
易达,81,内部拒单
易达,82,无法设置交易权限
易达,83,非法的GroupOrderRef
易达,84,非法的OrderGroupID
易达,85,尚未登陆
易达,86,保证金模型参数错误
易达,87,账户未启用该保证金模型
易达,88,当前保证金模型不允许使用组合持仓
易达,89,撤单太多
易达,90,信息量超限
易达,91,买卖开平不一致
易达,92,不符合最小价格变动单位
易达,93,合约已停牌
易达,94,不是合格投资者
易达,95,本系统禁止该产品交易
易达,96,现货超限仓
易达,97,现货日买入量超限
易达,500,无法发送报单到柜台
易达,501,批量报单报单数超过16个
易达,990,找不到组合持仓
易达,991,没有足够的组合持仓
易达,992,没有足够的单腿持仓
易达,993,错误的组合持仓
易达,994,持仓不足
易达,995,非期权合约
易达,996,字段错误
易达,997,重复本地报单号
易达,998,非交易时间
易达,999,模拟交易错误
上期所/能源所,1001,会话不正确
上期所/能源所,1002,合约找不到
上期所/能源所,1003,会员找不到
上期所/能源所,1004,客户找不到
上期所/能源所,1006,报单字段错误
上期所/能源所,1007,报价字段错误
上期所/能源所,1008,报单操作字段错误
上期所/能源所,1009,报价操作字段错误
上期所/能源所,1012,重复的报单
上期所/能源所,1013,重复的报价
上期所/能源所,1015,客户没有在该会员开户
上期所/能源所,1016,IOC需在连续交易阶段
上期所/能源所,1017,GFA需在集合竞价阶段
上期所/能源所,1018,市价单不能排队
上期所/能源所,1019,数量约束应在IOC单上
上期所/能源所,1020,GTD报单过期了
上期所/能源所,1021,最小数量大于报单数量
上期所/能源所,1022,交易所数据没有同步
上期所/能源所,1023,结算组数据没有同步
上期所/能源所,1024,报单找不到
上期所/能源所,1025,报价找不到
上期所/能源所,1026,当前状态禁止此项操作
上期所/能源所,1027,不合法的合约状态迁移
上期所/能源所,1028,报单已经全部成交
上期所/能源所,1029,报单已经撤销
上期所/能源所,1031,平仓时客户持仓不足
上期所/能源所,1032,超出客户限仓
上期所/能源所,1034,超出会员限仓
上期所/能源所,1035,找不到帐号
上期所/能源所,1036,资金不足
上期所/能源所,1037,不合法的数量
上期所/能源所,1045,结算组初始化状态不对
上期所/能源所,1048,价格非最小单位的倍数
上期所/能源所,1049,价格超出涨停板
上期所/能源所,1050,价格跌破跌停板
上期所/能源所,1051,没有交易权限
上期所/能源所,1052,只能平仓
上期所/能源所,1053,没有此项交易角色
上期所/能源所,1057,不能为其他会员操作
上期所/能源所,1058,用户不匹配
上期所/能源所,1059,用户重复登录
上期所/能源所,1060,用户名或口令错误
上期所/能源所,1062,用户不活跃
上期所/能源所,1064,用户不属于此会员
上期所/能源所,1065,错误的登录IP地址
上期所/能源所,1067,并没有以此用户登录
上期所/能源所,1066,用户尚未登录
上期所/能源所,1068,并没有以此会员登录
上期所/能源所,1070,报价已经被取消
上期所/能源所,1076,报单已经被挂起
上期所/能源所,1077,报单已经被激活
上期所/能源所,1078,GTD报单没有设定日期
上期所/能源所,1079,不被支持的报单类型
上期所/能源所,1080,用户无此权限
上期所/能源所,1083,止损单仅用于连续交易
上期所/能源所,1084,止损单需是IOC或GFD
上期所/能源所,1089,执行宣告字段错误
上期所/能源所,1090,执行宣告操作字段错误
上期所/能源所,1091,重复的执行宣告
上期所/能源所,1092,执行宣告已经取消
上期所/能源所,1093,执行宣告找不到
上期所/能源所,1094,执行宣告只能用于期权
上期所/能源所,1095,止损报单需说明止损价
上期所/能源所,1096,保值额度不足
上期所/能源所,1097,重复的操作
上期所/能源所,1099,不能为其他用户操作
上期所/能源所,1100,错误的用户类型
上期所/能源所,1103,当日套保仓位不能平仓
上期所/能源所,1104,不明管理指令
上期所/能源所,1106,重复的会话
上期所/能源所,1114,最优价单不能排队
上期所/能源所,1121,放弃执行宣告字段错误
上期所/能源所,1122,放弃执行宣告操作字段错误
上期所/能源所,1123,重复的放弃执行宣告
上期所/能源所,1124,放弃执行宣告已经取消
上期所/能源所,1125,放弃执行宣告找不到
上期所/能源所,1126,放弃执行宣告只能用于期权
上期所/能源所,1127,不在宣告期内
上期所/能源所,1128,只有持有多头仓位才能放弃行权
上期所/能源所,1129,执行或放弃执行宣告不能为开仓
上期所/能源所,1130,没有足够的持仓用于申请保留
上期所/能源所,1131,超出客户合约当日开仓限额
上期所/能源所,1132,超出客户产品每秒报单限额
上期所/能源所,1133,超出客户产品每秒撤单限额
上期所/能源所,1134,API校验未通过
上期所/能源所,1135,用户认证失败
上期所/能源所,1136,用户没有权限直连前置
上期所/能源所,1137,期权自对冲字段错误
上期所/能源所,1138,期权自对冲操作字段错误
上期所/能源所,1139,重复的期权自对冲更新
上期所/能源所,1140,期权自对冲更新已经撤销
上期所/能源所,1141,期权自对冲更新只能用于期权
上期所/能源所,1142,期权自对冲找不到
上期所/能源所,1143,期权自对冲操作只能是删除
上期所/能源所,1144,此客户SelfCloseFlag不能为保留期权仓位
上期所/能源所,1145,此客户SelfCloseFlag不能为自对冲期权仓位
上期所/能源所,1146,只有持有多头仓位才能行权
上期所/能源所,1147,用户新密码不符合要求（长度不低于8位，必须包含数字、大写字母和小写字母）
上期所/能源所,1148,当前市场价格在合理的价差范围内，不用询价。
中金所,1001,会话不正确
中金所,1002,合约找不到
中金所,1003,会员找不到
中金所,1004,客户找不到
中金所,1006,报单字段错误
中金所,1007,报价字段错误
中金所,1008,报单操作字段错误
中金所,1009,报价操作字段错误
中金所,1012,重复的报单
中金所,1013,重复的报价
中金所,1015,客户没有在该会员开户
中金所,1016,IOC需在连续交易阶段
中金所,1017,GFA需在集合竞价阶段
中金所,1018,市价单不能排队
中金所,1019,数量约束应在IOC单上
中金所,1020,GTD报单过期了
中金所,1021,最小数量大于报单数量
中金所,1022,交易所数据没有同步
中金所,1023,结算组数据没有同步
中金所,1024,报单找不到
中金所,1025,报价找不到
中金所,1026,当前状态禁止此项操作
中金所,1027,不合法的合约状态迁移
中金所,1028,报单已经全部成交
中金所,1029,报单已经撤销
中金所,1031,平仓时客户持仓不足
中金所,1032,超出客户限仓
中金所,1034,超出会员限仓
中金所,1035,找不到帐号
中金所,1036,资金不足
中金所,1037,不合法的数量
中金所,1045,结算组初始化状态不对
中金所,1048,价格非最小单位的倍数
中金所,1049,价格超出涨停板
中金所,1050,价格跌破跌停板
中金所,1051,没有交易权限
中金所,1052,只能平仓
中金所,1053,没有此项交易角色
中金所,1057,不能为其他会员操作
中金所,1058,用户不匹配
中金所,1059,用户重复登录
中金所,1060,用户名或口令错误
中金所,1062,用户不活跃
中金所,1064,用户不属于此会员
中金所,1065,错误的登录IP地址
中金所,1067,并没有以此用户登录
中金所,1066,用户尚未登录
中金所,1068,并没有以此会员登录
中金所,1070,报价已经被取消
中金所,1076,报单已经被挂起
中金所,1077,报单已经被激活
中金所,1078,GTD报单没有设定日期
中金所,1079,不被支持的报单类型
中金所,1080,用户无此权限
中金所,1083,止损单仅用于连续交易
中金所,1084,止损单需是IOC或GFD
中金所,1089,执行宣告字段错误
中金所,1090,执行宣告操作字段错误
中金所,1091,重复的执行宣告
中金所,1092,执行宣告已经取消
中金所,1093,执行宣告找不到
中金所,1094,执行宣告只能用于期权
中金所,1095,止损报单需说明止损价
中金所,1096,保值额度不足
中金所,1097,重复的操作
中金所,1099,不能为其他用户操作
中金所,1100,错误的用户类型
中金所,1101,结算会员不能做交易
中金所,1102,无法找到对应结算会员
中金所,1103,当日套保仓位不能平仓
中金所,1104,不明管理指令
中金所,1106,重复的会话
中金所,1107,无此功能的权限
中金所,1108,需结算会员做此操作
中金所,1109,结算交易会员不匹配
中金所,1110,管理指令字段错误
中金所,1111,信用限额不足
中金所,1113,信用限额尚未初始化过
中金所,1114,最优价单不能排队
中金所,1121,没有报价权限
中金所,1122,询价字段错误
中金所,1123,询价客户字段不能为空
中金所,1124,询价会员字段不能为空
中金所,1125,价格超出波动带
中金所,1126,价格跌破波动带
